-3.44,-16.35,63.15
-1.55,42.68,-9.24
-0.74,46.01,2.41
-1.55,45.25,14.39
-2.49,42.03,26.27
-2.22,36.47,37.12
-2.76,27.96,45.89
-2.54,17.77,53.09
-2.47,7.13,57.98
-2.64,-3.96,61.98
-3.56,-28.03,64
-2.47,-40.44,62.29
-2.06,-51.59,57.9
-1.77,-61.04,51.01
-1.08,-68.34,41.11
-0.43,-73.42,30.6
-0.69,-78.16,20.01
-0.09,-80.33,7.21
-0.32,-78.59,-4.09
-43.07,-14.89,-12.82
-45.86,-15.18,-1.98
-46.83,-15.13,9.63
-46.81,-15.77,20.36
-46,-16.57,32.45
-42.55,-16.22,43.61
-34.97,-15.83,51.75
-25.6,-15.83,58.89
-15.62,-16.67,63.1
8.31,-16.64,63.71
19.22,-16.78,60.22
29.13,-15.61,53.86
36.4,-15.64,45.74
41.67,-15.9,34.48
42.55,-15.29,22.96
41.7,-14.21,11.1
40.71,-14.62,0.6
38.96,-14.99,-11.66
-9.62,45.24,1
-18.19,43.28,-0.19
-25.6,39.29,-1.67
-32.55,34.03,-1.6
-37.37,26.45,-1.94
-40.61,18.44,-2.87
-41.16,9.64,-2.89
-43.38,1.31,-2.87
-44.92,-7.89,-2.16
-44.9,-24.91,-2.04
-44.07,-34.01,-1.14
-41.38,-42.48,-0.72
-39.11,-50.43,0.58
-36.11,-59.07,1.15
-30.95,-66.5,2.46
-25.12,-72.43,3.11
-18.18,-76.84,4.36
-9.52,-79.45,5.98
7.04,44.36,0.9
15.71,41.75,0.44
22.97,37.97,0.27
28.63,32.04,-0.34
32.36,24.67,-0.2
34.5,16.8,-0.42
35.7,8.08,0.07
38.47,0.63,0.57
40.13,-7.16,0.21
40.69,-23.89,1.45
39.12,-32.43,0.87
37.6,-40.83,2.44
35.4,-49.27,2.43
33.02,-56.82,3.47
29.03,-64.09,3.63
23.22,-69.98,4.07
16.24,-75.2,5.03
9,-78.6,6.18
-39.98,19.94,5.75
-39.95,21.96,14.3
-37.65,23.79,22.93
-33.68,25.45,29.75
-27.43,26.78,36.41
-20,27.68,41.54
-12.49,28.19,44.3
5.46,28.16,45.25
13.18,27.42,43.4
21.49,26.23,39.43
27.57,24.6,33.34
32.37,22.51,26.35
35.3,21.08,17.5
35.65,19.47,9.24
-39.95,-52.85,9.27
-39.43,-54.58,18.49
-37.45,-56.57,27.89
-33.43,-58.55,35.57
-27.39,-59.98,41.75
-20.18,-60.94,47.3
-11.35,-61.78,50.97
6.24,-61.53,51.32
15.78,-60.15,49.36
23.47,-58.58,44.66
29.15,-57.39,37.49
33.78,-55.45,29.55
35.87,-53.79,20.29
36.49,-51.11,11.77
-31.35,35.62,4
